time,light,sound
12-5-17:25:17:4,35,21
12-5-17:25:17:5,34,16
12-5-17:25:17:6,35,31
12-5-17:25:17:7,35,38
12-5-17:25:17:8,35,26
12-5-17:25:17:9,36,34
12-5-17:25:18:10,35,27
12-5-17:25:18:1,35,30
12-5-17:25:18:2,34,73
12-5-17:25:18:3,33,26
12-5-17:25:18:4,34,31
12-5-17:25:18:5,34,23
12-5-17:25:18:6,33,30
12-5-17:25:18:7,31,24
12-5-17:25:18:8,30,30
12-5-17:25:18:9,30,25
12-5-17:25:19:10,31,35
12-5-17:25:19:1,31,31
12-5-17:25:19:2,32,37
12-5-17:25:19:3,32,25
12-5-17:25:19:4,34,33
12-5-17:25:19:5,36,35
12-5-17:25:19:6,37,35
12-5-17:25:19:7,36,31
12-5-17:25:19:8,36,35
12-5-17:25:19:9,37,30
12-5-17:25:20:10,36,47
12-5-17:25:20:1,36,34
12-5-17:25:20:2,37,36
12-5-17:25:20:3,37,42
12-5-17:25:20:4,36,39
12-5-17:25:20:5,37,31
12-5-17:25:20:6,37,27
12-5-17:25:20:7,37,39
12-5-17:25:20:8,37,38
12-5-17:25:20:9,36,35
12-5-17:25:21:10,39,49
12-5-17:25:21:1,39,44
12-5-17:25:21:2,39,28
12-5-17:25:21:3,39,27
12-5-17:25:21:4,39,32
12-5-17:25:21:5,39,40
12-5-17:25:21:6,39,33
12-5-17:25:21:7,37,57
12-5-17:25:21:8,37,34
12-5-17:25:21:9,35,26
12-5-17:25:22:10,37,36
12-5-17:25:22:1,37,32
12-5-17:25:22:2,37,34
12-5-17:25:22:3,37,54
12-5-17:25:22:4,36,26
12-5-17:25:22:5,36,28
12-5-17:25:22:6,35,37
12-5-17:25:22:7,35,27
12-5-17:25:22:8,35,25
12-5-17:25:22:9,35,30
12-5-17:25:23:10,34,25
12-5-17:25:23:1,32,29
12-5-17:25:23:2,32,23
12-5-17:25:23:3,33,32
12-5-17:25:23:4,34,26
12-5-17:25:23:5,33,16
12-5-17:25:23:6,35,21
12-5-17:25:23:7,36,17
12-5-17:25:23:8,36,17
12-5-17:25:23:9,37,24
12-5-17:25:24:10,37,29
12-5-17:25:24:1,35,19
12-5-17:25:24:2,37,23
12-5-17:25:24:3,36,17
12-5-17:25:24:4,34,19
12-5-17:25:24:5,34,28
12-5-17:25:24:6,35,32
12-5-17:25:24:7,34,29
12-5-17:25:24:8,34,24
12-5-17:25:24:9,34,17
12-5-17:25:25:10,33,18
12-5-17:25:25:1,33,16
12-5-17:25:25:2,35,25
12-5-17:25:25:3,34,18
12-5-17:25:25:4,35,28
12-5-17:25:25:5,33,19
12-5-17:25:25:6,32,19
12-5-17:25:25:7,32,21
12-5-17:25:25:8,31,30
12-5-17:25:25:9,31,31
12-5-17:25:26:10,33,23
