time,light,sound
12-5-17:27:57:1,25,11
12-5-17:27:57:2,25,12
12-5-17:27:57:3,25,24
12-5-17:27:57:4,25,17
12-5-17:27:57:5,26,23
12-5-17:27:57:6,26,14
12-5-17:27:57:7,25,14
12-5-17:27:57:8,24,13
12-5-17:27:57:9,24,12
12-5-17:27:58:10,25,13
12-5-17:27:58:1,25,18
12-5-17:27:58:2,25,17
12-5-17:27:58:3,27,13
12-5-17:27:58:4,25,18
12-5-17:27:58:5,25,15
12-5-17:27:58:6,25,27
12-5-17:27:58:7,25,20
12-5-17:27:58:8,25,29
12-5-17:27:58:9,26,17
12-5-17:27:59:10,26,10
12-5-17:27:59:1,25,18
12-5-17:27:59:2,24,11
12-5-17:27:59:3,25,14
12-5-17:27:59:4,25,40
12-5-17:27:59:5,25,26
12-5-17:27:59:6,25,14
12-5-17:27:59:7,25,23
12-5-17:27:59:8,25,16
12-5-17:27:59:9,25,20
12-5-17:28:0:10,24,28
12-5-17:28:0:1,25,11
12-5-17:28:0:2,25,17
12-5-17:28:0:3,26,15
12-5-17:28:0:4,25,15
12-5-17:28:0:5,26,40
12-5-17:28:0:6,25,33
12-5-17:28:0:7,25,23
12-5-17:28:0:8,24,18
12-5-17:28:0:9,25,19
12-5-17:28:1:10,25,15
12-5-17:28:1:1,26,17
12-5-17:28:1:2,25,20
12-5-17:28:1:3,25,12
12-5-17:28:1:4,23,12
12-5-17:28:1:5,25,22
12-5-17:28:1:6,24,22
12-5-17:28:1:7,25,11
12-5-17:28:1:8,25,13
12-5-17:28:1:9,25,13
12-5-17:28:2:10,25,11
12-5-17:28:2:1,24,12
12-5-17:28:2:2,25,31
12-5-17:28:2:3,25,13
12-5-17:28:2:4,25,13
12-5-17:28:2:5,26,27
12-5-17:28:2:6,25,38
12-5-17:28:2:7,24,14
12-5-17:28:2:8,25,25
12-5-17:28:2:9,25,20
12-5-17:28:3:10,24,16
12-5-17:28:3:1,25,14
12-5-17:28:3:2,25,11
12-5-17:28:3:3,25,18
12-5-17:28:3:4,25,25
12-5-17:28:3:5,25,28
12-5-17:28:3:6,25,13
12-5-17:28:3:7,26,31
12-5-17:28:3:8,25,21
12-5-17:28:3:9,25,38
12-5-17:28:4:10,25,21
12-5-17:28:4:1,26,15
12-5-17:28:4:2,25,16
12-5-17:28:4:3,26,36
