time,light,sound
12-5-17:25:37:4,112,12
12-5-17:25:37:5,113,12
12-5-17:25:37:6,113,12
12-5-17:25:37:7,114,19
12-5-17:25:37:8,115,15
12-5-17:25:37:9,115,17
12-5-17:25:38:10,116,12
12-5-17:25:38:1,117,11
12-5-17:25:38:2,117,9
12-5-17:25:38:3,116,9
12-5-17:25:38:4,115,11
12-5-17:25:38:5,114,11
12-5-17:25:38:6,113,19
12-5-17:25:38:7,113,14
12-5-17:25:38:8,114,11
12-5-17:25:38:9,114,11
12-5-17:25:39:10,115,11
12-5-17:25:39:1,116,13
12-5-17:25:39:2,117,10
12-5-17:25:39:3,118,12
12-5-17:25:39:4,117,14
12-5-17:25:39:5,116,10
12-5-17:25:39:6,115,11
12-5-17:25:39:7,113,10
12-5-17:25:39:8,113,11
12-5-17:25:39:9,113,12
12-5-17:25:40:10,113,16
12-5-17:25:40:1,114,10
12-5-17:25:40:2,115,12
12-5-17:25:40:3,116,10
12-5-17:25:40:4,117,17
12-5-17:25:40:5,118,15
12-5-17:25:40:6,117,15
12-5-17:25:40:7,116,9
12-5-17:25:40:8,114,11
12-5-17:25:40:9,113,11
12-5-17:25:41:10,113,11
12-5-17:25:41:1,112,15
12-5-17:25:41:2,113,12
12-5-17:25:41:3,114,9
12-5-17:25:41:4,114,11
12-5-17:25:41:5,115,11
12-5-17:25:41:6,116,9
12-5-17:25:41:7,117,10
12-5-17:25:41:8,116,17
12-5-17:25:41:9,116,9
12-5-17:25:42:10,114,13
12-5-17:25:42:1,114,21
12-5-17:25:42:2,113,19
12-5-17:25:42:3,114,11
12-5-17:25:42:4,114,13
12-5-17:25:42:5,115,8
12-5-17:25:42:6,116,12
12-5-17:25:42:7,117,11
12-5-17:25:42:8,118,12
12-5-17:25:42:9,118,10
12-5-17:25:43:10,118,12
12-5-17:25:43:1,117,11
12-5-17:25:43:2,115,16
12-5-17:25:43:3,114,11
12-5-17:25:43:4,114,12
12-5-17:25:43:5,114,11
12-5-17:25:43:6,115,12
12-5-17:25:43:7,116,10
12-5-17:25:43:8,117,13
12-5-17:25:43:9,118,11
12-5-17:25:44:10,118,13
12-5-17:25:44:1,119,10
12-5-17:25:44:2,118,10
12-5-17:25:44:3,116,11
12-5-17:25:44:4,116,11
12-5-17:25:44:5,114,16
12-5-17:25:44:6,114,13
12-5-17:25:44:7,114,13
12-5-17:25:44:8,115,21
12-5-17:25:44:9,116,11
12-5-17:25:45:10,117,13
12-5-17:25:45:1,117,12
12-5-17:25:45:2,118,11
12-5-17:25:45:3,118,13
12-5-17:25:45:4,118,11
12-5-17:25:45:5,117,11
12-5-17:25:45:6,115,10
12-5-17:25:45:7,114,13
12-5-17:25:45:8,113,10
12-5-17:25:45:9,114,29
12-5-17:25:46:10,114,11
12-5-17:25:46:1,115,13
12-5-17:25:46:2,116,10
12-5-17:25:46:3,117,14
12-5-17:25:46:4,117,14
12-5-17:25:46:5,117,24
12-5-17:25:46:6,117,10
12-5-17:25:46:7,116,11
12-5-17:25:46:8,115,13
12-5-17:25:46:9,114,10
12-5-17:25:47:10,113,10
12-5-17:25:47:1,113,11
12-5-17:25:47:2,113,27
12-5-17:25:47:3,113,16
12-5-17:25:47:4,115,12
12-5-17:25:47:5,115,12
12-5-17:25:47:6,116,12
12-5-17:25:47:7,117,15
12-5-17:25:47:8,118,11
12-5-17:25:47:9,116,13
12-5-17:25:48:10,115,18
12-5-17:25:48:1,114,17
12-5-17:25:48:2,114,16
12-5-17:25:48:3,113,15
12-5-17:25:48:4,113,13
12-5-17:25:48:5,114,11
12-5-17:25:48:6,114,13
12-5-17:25:48:7,115,13
12-5-17:25:48:8,115,14
12-5-17:25:48:9,116,15
12-5-17:25:49:10,119,13
12-5-17:25:49:1,119,13
12-5-17:25:49:2,117,12
12-5-17:25:49:3,116,12
12-5-17:25:49:4,115,16
12-5-17:25:49:5,115,11
12-5-17:25:49:6,115,16
12-5-17:25:49:7,115,11
12-5-17:25:49:8,116,13
12-5-17:25:49:9,116,11
12-5-17:25:50:10,115,17
12-5-17:25:50:1,115,20
12-5-17:25:50:2,115,19
12-5-17:25:50:3,114,14
12-5-17:25:50:4,114,12
12-5-17:25:50:5,112,13
12-5-17:25:50:6,111,17
12-5-17:25:50:7,112,15
12-5-17:25:50:8,113,15
12-5-17:25:50:9,115,105
