time,light,sound
12-5-17:25:21:9,51,72
12-5-17:25:22:10,51,29
12-5-17:25:22:1,52,38
12-5-17:25:22:2,52,65
12-5-17:25:22:3,52,20
12-5-17:25:22:4,52,25
12-5-17:25:22:5,52,25
12-5-17:25:22:6,53,32
12-5-17:25:22:7,52,25
12-5-17:25:22:8,53,16
12-5-17:25:22:9,53,30
12-5-17:25:23:10,52,29
12-5-17:25:23:1,52,26
12-5-17:25:23:2,52,39
12-5-17:25:23:3,52,29
12-5-17:25:23:4,51,29
12-5-17:25:23:5,51,35
12-5-17:25:23:6,51,25
12-5-17:25:23:7,51,31
12-5-17:25:23:8,51,15
12-5-17:25:23:9,52,28
12-5-17:25:24:10,52,40
12-5-17:25:24:1,52,50
12-5-17:25:24:2,52,53
12-5-17:25:24:3,52,28
12-5-17:25:24:4,52,22
12-5-17:25:24:5,52,24
12-5-17:25:24:6,52,26
12-5-17:25:24:7,51,30
12-5-17:25:24:8,52,31
12-5-17:25:24:9,51,20
12-5-17:25:25:10,52,19
12-5-17:25:25:1,52,35
12-5-17:25:25:2,52,43
12-5-17:25:25:3,52,49
12-5-17:25:25:4,52,25
12-5-17:25:25:5,51,22
12-5-17:25:25:6,51,49
12-5-17:25:25:7,51,46
12-5-17:25:25:8,51,19
12-5-17:25:25:9,51,22
12-5-17:25:26:10,52,30
12-5-17:25:26:1,52,30
12-5-17:25:26:2,53,30
12-5-17:25:26:3,52,25
12-5-17:25:26:4,51,28
12-5-17:25:26:5,51,31
12-5-17:25:26:6,51,34
12-5-17:25:26:7,50,31
12-5-17:25:26:8,51,26
12-5-17:25:26:9,52,18
12-5-17:25:27:10,51,27
12-5-17:25:27:1,52,45
12-5-17:25:27:2,52,35
12-5-17:25:27:3,52,27
12-5-17:25:27:4,52,36
12-5-17:25:27:5,52,41
12-5-17:25:27:6,52,30
12-5-17:25:27:7,52,34
12-5-17:25:27:8,52,24
12-5-17:25:27:9,52,25
12-5-17:25:28:10,52,30
12-5-17:25:28:1,51,31
12-5-17:25:28:2,51,55
12-5-17:25:28:3,52,46
12-5-17:25:28:4,51,49
12-5-17:25:28:5,52,63
12-5-17:25:28:6,51,33
12-5-17:25:28:7,51,20
12-5-17:25:28:8,51,34
12-5-17:25:28:9,52,23
12-5-17:25:29:10,52,23
12-5-17:25:29:1,50,15
12-5-17:25:29:2,51,22
12-5-17:25:29:3,50,28
12-5-17:25:29:4,50,15
12-5-17:25:29:5,50,19
12-5-17:25:29:6,50,12
12-5-17:25:29:7,51,28
12-5-17:25:29:8,51,18
12-5-17:25:29:9,51,16
12-5-17:25:30:10,52,25
12-5-17:25:30:1,53,19
12-5-17:25:30:2,52,13
12-5-17:25:30:3,52,29
12-5-17:25:30:4,52,46
12-5-17:25:30:5,52,16
12-5-17:25:30:6,53,29
12-5-17:25:30:7,53,29
12-5-17:25:30:8,53,29
12-5-17:25:30:9,53,18
12-5-17:25:31:10,52,59
12-5-17:25:31:1,52,25
12-5-17:25:31:2,52,23
12-5-17:25:31:3,52,26
12-5-17:25:31:4,52,27
12-5-17:25:31:5,52,30
12-5-17:25:31:6,52,29
12-5-17:25:31:7,53,14
12-5-17:25:31:8,53,19
12-5-17:25:31:9,53,15
12-5-17:25:32:10,52,14
12-5-17:25:32:1,52,20
12-5-17:25:32:2,52,18
12-5-17:25:32:3,53,24
12-5-17:25:32:4,52,24
12-5-17:25:32:5,52,55
12-5-17:25:32:6,52,24
12-5-17:25:32:7,52,23
12-5-17:25:32:8,53,16
12-5-17:25:32:9,52,42
12-5-17:25:33:10,53,26
12-5-17:25:33:1,52,53
12-5-17:25:33:2,52,48
12-5-17:25:33:3,52,27
12-5-17:25:33:4,52,23
12-5-17:25:33:5,52,72
12-5-17:25:33:6,52,41
12-5-17:25:33:7,52,34
12-5-17:25:33:8,51,59
12-5-17:25:33:9,52,51
12-5-17:25:34:10,52,31
12-5-17:25:34:1,52,48
12-5-17:25:34:2,52,48
12-5-17:25:34:3,51,38
12-5-17:25:34:4,52,46
12-5-17:25:34:5,52,32
12-5-17:25:34:6,52,28
12-5-17:25:34:7,52,27
12-5-17:25:34:8,52,46
12-5-17:25:34:9,52,31
12-5-17:25:35:10,52,31
12-5-17:25:35:1,53,31
12-5-17:25:35:2,52,23
12-5-17:25:35:3,53,31
12-5-17:25:35:4,51,34
12-5-17:25:35:5,52,19
12-5-17:25:35:6,52,49
12-5-17:25:35:7,51,39
12-5-17:25:35:8,51,45
12-5-17:25:35:9,52,46
12-5-17:25:36:10,52,44
12-5-17:25:36:1,52,31
12-5-17:25:36:2,52,35
12-5-17:25:36:3,53,25
12-5-17:25:36:4,53,23
12-5-17:25:36:5,52,40
12-5-17:25:36:6,53,41
12-5-17:25:36:7,53,34
12-5-17:25:36:8,53,32
12-5-17:25:36:9,53,40
12-5-17:25:37:10,53,33
12-5-17:25:37:1,53,23
12-5-17:25:37:2,53,22
12-5-17:25:37:3,52,27
12-5-17:25:37:4,51,19
12-5-17:25:37:5,51,21
12-5-17:25:37:6,50,21
12-5-17:25:37:7,45,22
12-5-17:25:37:8,43,27
12-5-17:25:37:9,42,19
12-5-17:25:38:10,41,28
12-5-17:25:38:1,40,26
12-5-17:25:38:2,41,27
12-5-17:25:38:3,40,24
12-5-17:25:38:4,43,52
12-5-17:25:38:5,43,24
12-5-17:25:38:6,44,20
12-5-17:25:38:7,44,22
12-5-17:25:38:8,46,17
12-5-17:25:38:9,47,25
12-5-17:25:39:10,47,38
12-5-17:25:39:1,49,15
12-5-17:25:39:2,49,14
12-5-17:25:39:3,49,21
12-5-17:25:39:4,50,23
12-5-17:25:39:5,50,20
12-5-17:25:39:6,50,21
12-5-17:25:39:7,51,32
12-5-17:25:39:8,51,34
12-5-17:25:39:9,51,24
12-5-17:25:40:10,50,17
12-5-17:25:40:1,49,22
12-5-17:25:40:2,49,26
12-5-17:25:40:3,49,49
12-5-17:25:40:4,50,42
12-5-17:25:40:5,50,30
12-5-17:25:40:6,50,29
12-5-17:25:40:7,50,29
12-5-17:25:40:8,51,30
12-5-17:25:40:9,52,25
12-5-17:25:41:10,51,24
12-5-17:25:41:1,52,34
12-5-17:25:41:2,51,38
12-5-17:25:41:3,51,20
12-5-17:25:41:4,51,23
12-5-17:25:41:5,50,29
12-5-17:25:41:6,49,43
12-5-17:25:41:7,48,19
12-5-17:25:41:8,48,16
12-5-17:25:41:9,49,24
12-5-17:25:42:10,49,42
12-5-17:25:42:1,48,15
12-5-17:25:42:2,48,22
12-5-17:25:42:3,48,14
12-5-17:25:42:4,50,27
12-5-17:25:42:5,50,18
12-5-17:25:42:6,50,40
12-5-17:25:42:7,50,23
12-5-17:25:42:8,51,16
12-5-17:25:42:9,50,28
12-5-17:25:43:10,45,26
12-5-17:25:43:1,44,22
12-5-17:25:43:2,44,24
12-5-17:25:43:3,44,20
12-5-17:25:43:4,45,21
12-5-17:25:43:5,46,19
12-5-17:25:43:6,51,20
12-5-17:25:43:7,52,23
12-5-17:25:43:8,52,21
12-5-17:25:43:9,52,17
12-5-17:25:44:10,52,25
12-5-17:25:44:1,53,53
12-5-17:25:44:2,53,23
12-5-17:25:44:3,54,76
12-5-17:25:44:4,54,29
12-5-17:25:44:5,54,28
12-5-17:25:44:6,54,22
12-5-17:25:44:7,54,16
12-5-17:25:44:8,54,19
12-5-17:25:44:9,53,20
12-5-17:25:45:10,53,25
12-5-17:25:45:1,53,20
12-5-17:25:45:2,53,31
12-5-17:25:45:3,53,23
12-5-17:25:45:4,52,24
12-5-17:25:45:5,52,37
12-5-17:25:45:6,52,25
12-5-17:25:45:7,52,19
12-5-17:25:45:8,52,18
12-5-17:25:45:9,52,24
12-5-17:25:46:10,53,23
12-5-17:25:46:1,52,26
12-5-17:25:46:2,51,23
12-5-17:25:46:3,51,22
12-5-17:25:46:4,52,24
12-5-17:25:46:5,52,28
12-5-17:25:46:6,52,14
12-5-17:25:46:7,53,31
12-5-17:25:46:8,52,22
12-5-17:25:46:9,52,16
12-5-17:25:47:10,53,15
12-5-17:25:47:1,52,19
12-5-17:25:47:2,53,19
12-5-17:25:47:3,53,27
12-5-17:25:47:4,53,31
12-5-17:25:47:5,52,23
12-5-17:25:47:6,53,18
12-5-17:25:47:7,54,21
12-5-17:25:47:8,53,21
12-5-17:25:47:9,53,17
12-5-17:25:48:10,54,31
12-5-17:25:48:1,53,17
12-5-17:25:48:2,53,25
12-5-17:25:48:3,53,11
12-5-17:25:48:4,53,19
12-5-17:25:48:5,54,22
12-5-17:25:48:6,53,21
12-5-17:25:48:7,53,24
12-5-17:25:48:8,53,24
12-5-17:25:48:9,53,18
12-5-17:25:49:10,53,18
12-5-17:25:49:1,53,27
12-5-17:25:49:2,53,19
12-5-17:25:49:3,53,16
12-5-17:25:49:4,54,17
12-5-17:25:49:5,54,12
12-5-17:25:49:6,54,16
12-5-17:25:49:7,53,16
12-5-17:25:49:8,54,16
12-5-17:25:49:9,54,16
12-5-17:25:50:10,54,13
12-5-17:25:50:1,54,14
12-5-17:25:50:2,54,22
12-5-17:25:50:3,54,13
12-5-17:25:50:4,53,14
12-5-17:25:50:5,54,13
12-5-17:25:50:6,53,14
12-5-17:25:50:7,53,22
12-5-17:25:50:8,54,26
12-5-17:25:50:9,53,18
12-5-17:25:51:10,53,25
12-5-17:25:51:1,53,15
12-5-17:25:51:2,53,20
12-5-17:25:51:3,53,32
12-5-17:25:51:4,52,24
12-5-17:25:51:5,53,29
12-5-17:25:51:6,53,20
12-5-17:25:51:7,53,25
12-5-17:25:51:8,53,18
12-5-17:25:51:9,53,23
12-5-17:25:52:10,53,27
12-5-17:25:52:1,53,15
12-5-17:25:52:2,51,26
12-5-17:25:52:3,52,20
12-5-17:25:52:4,52,23
12-5-17:25:52:5,52,14
12-5-17:25:52:6,53,22
12-5-17:25:52:7,52,16
12-5-17:25:52:8,52,22
12-5-17:25:52:9,52,23
12-5-17:25:53:10,51,15
12-5-17:25:53:1,52,18
12-5-17:25:53:2,51,20
12-5-17:25:53:3,51,18
12-5-17:25:53:4,51,30
12-5-17:25:53:5,51,15
12-5-17:25:53:6,51,19
12-5-17:25:53:7,51,20
12-5-17:25:53:8,50,32
12-5-17:25:53:9,51,23
12-5-17:25:54:10,52,26
12-5-17:25:54:1,52,27
12-5-17:25:54:2,52,32
12-5-17:25:54:3,53,19
12-5-17:25:54:4,52,18
12-5-17:25:54:5,53,20
12-5-17:25:54:6,53,22
12-5-17:25:54:7,52,23
12-5-17:25:54:8,52,20
12-5-17:25:54:9,51,19
12-5-17:25:55:10,47,31
12-5-17:25:55:1,44,16
12-5-17:25:55:2,44,23
12-5-17:25:55:3,43,21
12-5-17:25:55:4,42,19
12-5-17:25:55:5,42,29
12-5-17:25:55:6,43,27
12-5-17:25:55:7,47,22
12-5-17:25:55:8,46,13
12-5-17:25:55:9,45,19
12-5-17:25:56:10,45,18
12-5-17:25:56:1,45,25
12-5-17:25:56:2,45,14
12-5-17:25:56:3,47,21
12-5-17:25:56:4,48,17
12-5-17:25:56:5,50,19
12-5-17:25:56:6,50,25
12-5-17:25:56:7,51,18
12-5-17:25:56:8,51,20
12-5-17:25:56:9,52,22
12-5-17:25:57:10,52,19
12-5-17:25:57:1,51,18
12-5-17:25:57:2,51,20
12-5-17:25:57:3,51,28
